# Bornomala Bangla phonetic-key index: ambiguity-collapsed key -> Bangla words.
# Generated by scripts/gen_bn_phonetic.py from bn_frequency.txt; do not hand-edit.
# The key algorithm is BanglaPhoneticKey.banglaKey; BanglaPhoneticKeyTest re-derives
# every line below with the Kotlin implementation so the two cannot drift.
a	আ আঃ
aba	আব্বা আভা
abaj	আওয়াজ
abajan	আব্বাজান
abajer	আওয়াজের
abal	আবাল
abar	আবার আবারো আবারও আব্বার
abas	আভাস
abasik	আবাসিক
abasti	আওয়াস্তি
abd	আবদ্ধ
abdi	আবদি
abdulah	আবদুল্লাহ
abedn	আবেদন
abeg	আবেগ
abeger	আবেগের
abhaba	আবহাওয়া
abhabar	আবহাওয়ার
abhaya	আবহাওয়া
abhayar	আবহাওয়ার
abiskar	আবিষ্কার আবিস্কার
abiskarer	আবিষ্কারের
abiskrit	আবিষ্কৃত
abraham	আব্রাহাম
abrit	আবৃত
abrjna	আবর্জনা
abrjnar	আবর্জনার
abrn	আবরণ
absyk	আবশ্যক
abu	আব্বু আবু
abuke	আব্বুকে
abur	আব্বুর
ac	আছো আছ আঁচ
aca	আচ্ছা
acar	আচার
ace	আছে অাছে
acea	আছো
acei	আছেই
acen	আছেন
aci	আছি
acil	আছিলো
acis	আছিস
acmka	আচমকা
acr	আঁচড়
acrn	আচরণ আচরন
acrner	আচরণের
ad	আধ
ada	আড্ডা আধা
adalt	আদালত
adalte	আদালতে
adalter	আদালতের
aday	আদায়
ades	আদেশ
adese	আদেশে
adeser	আদেশের
adim	আদিম
adm	আদম
adr	আদর
adrer	আদরের
adrs	আদর্শ
adu	আদৌ
adunik	আধুনিক
adure	আদুরে
adyatmik	আধ্যাত্মিক
ag	আগ
aga	আগাও
agam	আগাম
agami	আগামী আগামি
agamikal	আগামীকাল
agamikaler	আগামীকালের
agamite	আগামীতে
agat	আঘাত
agate	আগাতে আঘাতে
agater	আঘাতের
age	আগে আগেও অাগে
agei	আগেই
agekar	আগেকার
ager	আগের
agerbar	আগেরবার
agle	আগলে
agmn	আগমন
agmner	আগমনের
agneyastr	আগ্নেয়াস্ত্র
agrh	আগ্রহ
agrhi	আগ্রহী
agst	আগস্ট
agt	আগত
agun	আগুন
agune	আগুনে
aguner	আগুনের
ah	আহ আহ্ আঁহ
aha	আহা
ahamk	আহাম্মক
ahare	আহারে
ahban	আহ্বান
ahh	আহহ
ahmed	আহমেদ
ahsan	আহসান
aht	আহত
ahtder	আহতদের
ai	আই
aice	আইছে
aidi	আইডি
aidiya	আইডিয়া
aidiyar	আইডিয়ার
aidiyata	আইডিয়াটা
aiemep	আইএমএফ
aijka	আইজকা
aijyak	আইজ্যাক
aila	আইলা
ailin	আইলিন
ailyand	আইল্যান্ড
ailyande	আইল্যান্ডে
ain	আইন
ainer	আইনের
ainjibi	আইনজীবী
ainstain	আইনস্টাইন
aipies	আইপিএস
airin	আইরিন
airis	আইরিস আইরিশ
ais	আইস
aiskrim	আইসক্রিম
aitem	আইটেম
aj	আজ আজও
ajaira	আজাইরা
ajb	আজব
ajebaje	আজেবাজে
ajgubi	আজগুবি
aji	আজই
ajib	আজিব
ajibn	আজীবন
ajij	আজিজ
ajkabane	আজকাবানে
ajkal	আজকাল
ajke	আজকে
ajkei	আজকেই
ajker	আজকের
ajrate	আজরাতে
aju	আজু
aka	আঁকা
akan	আঁকানো
akar	আকার
akare	আকারে
akarer	আকারের
akas	আকাশ
akase	আকাশে
akaser	আকাশের
akrant	আক্রান্ত
akre	আঁকড়ে
akrik	আক্ষরিক
akrist	আকৃষ্ট
akriti	আকৃতি
akrmn	আক্রমণ আক্রমন
akrmner	আক্রমণের আক্রমনের
akrsn	আকর্ষণ আকর্ষন
akrsniy	আকর্ষণীয়
aksmik	আকস্মিক
aksrik	আক্ষরিক
akte	আঁকতে
al	আলো আল
alada	আলাদা
